Enabler Type,EnablerType,Enabler Roles,Active (Y/N),Short Text,Enabler Description,Character count,
PL_U,Plant_Update,"ES : PLT - CA2U:BAYTECH_PLASTICS:MIDLAND,ON,CA",,BAYTECH_PLASTICS,,0,
PL_U,Plant_Update,"ES : PLT - U0KX:BEDFORD YARD:NORTH KANSAS CITY,MO,US",,BEDFORD YARD,,0,
PL_U,Plant_Update,"ES : PLT - U0BL:BEELMAN_TERMINALS:SAINT_LOUIS,MO,US",,BEELMAN_TERMINALS,,0,
PL_U,Plant_Update,"ES : PLT - U0BF:BERKSHIRE_FOODS_INC:CHICAGO,IL,US",,BERKSHIRE_FOODS_INC,,0,
PL_U,Plant_Update,"ES : PLT - U0BC/U0B3:BEST_SANITIZERS:WALTON,KY,US",,BEST_SANITIZERS,,0,
PL_U,Plant_Update,"ES : PLT - U0JP:BOB'S_WAREHOUSE:ABERDEEN,MD,US",,BOB'S_WAREHOUSE,3rd party external warehouse Aberdeen,37,
PL_U,Plant_Update,"ES : PLT - U0BS:BONDED_SERVICE_WAREHOUSE:ATLANTA,GA,US",,BONDED_SERVICE_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0BY/U0Y3:BOYD_CONVERTING_CO:SOUTH_LEE,MA,US",,BOYD_CONVERTING_CO,,0,
PL_U,Plant_Update,"ES : PLT - CALV:BRAMPTON_BRITA_CANADA:BRAMPTON,ON,CA",,BRAMPTON_BRITA_CANADA,,0,
PL_U,Plant_Update,"ES : PLT - U0LC:BRANCH_WAREHOUSE:BAKERSFIELD,CA,US",,BRANCH_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0UZ/U0Y2:BRIDGEVIEW_AEROSOL_LLC:BRIDGEVIEW,IL,US",,BRIDGEVIEW_AEROSOL_LLC,,0,
PL_U,Plant_Update,"ES : PLT - U0Y2:BRIDGEVIEW_AEROSOL_LLC:BRIDGEVIEW,IL,US",,BRIDGEVIEW_AEROSOL_LLC,,0,
PL_U,Plant_Update,"ES : PLT - U0YS/U0Y2:BRIDGEVIEW_AEROSOL_LLC:BRIDGEVIEW,IL,US",,BRIDGEVIEW_AEROSOL_LLC,,0,
PL_U,Plant_Update,"ES : PLT - CAF1:BRITA_BRAMPTON_MFG_PLANT:BRAMPTON,ON,CA",,BRITA_BRAMPTON_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0U3:BRITA_CANADA_US_VIRTUAL:OAKLAND,CA,US",,BRITA_CANADA_US_VIRTUAL,,0,
PL_U,Plant_Update,"ES : PLT - CA5K:BRITA_CHINA_PORT_PLANT:SHENZHEN,190,CN",,BRITA_CHINA_PORT_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U078:BRITA_US_(USFL):BRAMPTON,ON,CA",,BRITA_US_(USFL),,0,
PL_U,Plant_Update,"ES : PLT - U0Z7:BRITA_US_OCEAN_VIRTUAL:OCEAN_CITY,00,FJ",,BRITA_US_OCEAN_VIRTUAL,,0,
PL_U,Plant_Update,"ES : PLT - U0Z6:BRITA_US_VIRTUAL:BRAMPTON,ON,CA",,BRITA_US_VIRTUAL,,0,
PL_U,Plant_Update,"ES : PLT - U101:BROMLEY_PALLET:SAN_FERNANDO,CA,US",,BROMLEY_PALLET,,0,
PL_U,Plant_Update,ES : PLT - BSUP - Parent Role,,BSUP Parent Maintain,,0,
PL_U,Plant_Update,"ES : PLT - U0YB:BURTS BEES-EXEL-CPK:MORRISVILLE,NC,US",,BURTS BEES-EXEL-CPK,Burts Bees 3rd Party DHL Mfg co pack,36,
PL_U,Plant_Update,"ES : PLT - U00B:BURTS BEES-EXEL-RPC:MORRISVILLE,NC,US",,BURTS BEES-EXEL-RPC,Burts Bees 3rd Party DHL Warehouse,34,
PL_U,Plant_Update,"ES : PLT - U0B0:BURTS BEES-MFG:DURHAM,NC,US",,BURTS BEES-MFG,Burts Bees Mfg Plant,20,
PL_U,Plant_Update,"ES : PLT - U063:CANADIAN_PORT_PLANT:ORANGEVILLE,ON,CA",,CANADIAN_PORT_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0CD/U0N5:CANBERRA:TOLEDO,OH,US",,CANBERRA,,0,
PL_U,Plant_Update,"ES : PLT - U05J/U052:CANDLE-LITE_COMPANY:LEESBURG,OH,US",,CANDLE-LITE_COMPANY,,0,
PL_U,Plant_Update,"ES : PLT - U0C5/U047:CCL_CUSTOM_MFG_INC:DANVILLE,IL,US",,CCL_CUSTOM_MFG_INC,,0,
PL_U,Plant_Update,"ES : PLT - U0KM/U0W0:CHEMRITE:COPAC,_INC_LANNON,WI,US",,CHEMRITE,,0,
PL_U,Plant_Update,"ES : PLT - U059:CHINA_PORT_PLANT:QINGDAO,120,CN",,CHINA_PORT_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0E6/U040:CLOROX_ABERDEEN_MFG_PLANT:ABERDEEN,MD,US",,CLOROX_ABERDEEN_MFG_PLANT,Aberdeen Mfg Plant Enabler,26,
PL_U,Plant_Update,"ES : PLT - U0A4/U004:CLOROX_ATLANTA_MFG_PLANT:FOREST_PARK,GA,US",,CLOROX_ATLANTA_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0A3/U003:CLOROX_CHICAGO_MFG_PLANT:CHICAGO,IL,US",,CLOROX_CHICAGO_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U006:CLOROX_CLEVELAND_MFG_PLANT:CLEVELAND,OH,US",,CLOROX_CLEVELAND_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0A6/U006:CLOROX_CLEVELAND_MFG_PLANT:CLEVELAND,OH,US",,CLOROX_CLEVELAND_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U012:CLOROX_CO:HOUSTON,TX,US",,CLOROX_CO,,0,
PL_U,Plant_Update,"ES : PLT - U04S:CLOROX_CO-EMILE_ST_WHSE:HOUSTON,TX,US",,CLOROX_CO-EMILE_ST_WHSE,,0,
PL_U,Plant_Update,"ES : PLT - CA4Y:CLOROX_EDMONTON_MFG_PLANT:EDMONTON,AB,CA",,CLOROX_EDMONTON_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0A5/U005:CLOROX_HOUSTON_MFG_PLANT:HOUSTON,TX,US",,CLOROX_HOUSTON_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0HV/U0H8:CLOROX_HUNTINGTON_MFG_PLANT:FAIRFIELD,CA,US",,CLOROX_HUNTINGTON_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U007:CLOROX_LOS_ANGELES_MFG_PLANT:LOS_ANGELES,CA,US",,CLOROX_LOS_ANGELES_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0A7/U007:CLOROX_LOS_ANGELES_MFG_PLANT:LOS_ANGELES,CA,US",,CLOROX_LOS_ANGELES_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U04A:CLOROX_POST:AURORA,IL,US",,CLOROX_POST,,0,
PL_U,Plant_Update,"ES : PLT - U06F:CLOROX_POST:MINOOKA,IL,US",,CLOROX_POST,,0,
PL_U,Plant_Update,"ES : PLT - U0D1/U041:CLOROX_SERVICES_CO:PLEASANTON,CA,US",,CLOROX_SERVICES_CO,,0,
PL_U,Plant_Update,"ES : PLT - U009:CLOROX_TAMPA_MFG_PLANT:TAMPA,FL,US",,CLOROX_TAMPA_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0A9/U009:CLOROX_TAMPA_MFG_PLANT:TAMPA,FL,US",,CLOROX_TAMPA_MFG_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U03J/U041:CLX_TEST_PILOT_PLANT:PLEASANTON,CA,US",,CLX_TEST_PILOT_PLANT,,0,
PL_U,Plant_Update,"ES : PLT - U0UB/U0U8:CONOCO_PHILLIPS:LOS_ANGELES,CA,US",,CONOCO_PHILLIPS,,0,
PL_U,Plant_Update,"ES : PLT - U0UC/U0U7:CONOCO_PHILLIPS:SAVANNAH,GA,US",,CONOCO_PHILLIPS,,0,
PL_U,Plant_Update,"ES : PLT - CA2C:CONSOLIDATED BOTTLE CORP.: TORONTO,ON,CA",,CONSOLIDATED BOTTLE CORP.,,0,
PL_U,Plant_Update,"ES : PLT - U0CM:CONSOLIDATED_CONT:BALTIMORE,MD,US:U0E6",U0E6,CONSOLIDATED_CONT,,0,
PL_U,Plant_Update,"ES : PLT - U01C:CONSOLIDATED_TRF_&_WHSE:KANSAS_CITY,MO,US",,CONSOLIDATED_TRF_&_WHSE,,0,
PL_U,Plant_Update,"ES : PLT - U0JH:CONSTAR_PLASTICS_INC:JACKSON,MS,US:U0D6",U0D6,CONSTAR_PLASTICS_INC,,0,
PL_U,Plant_Update,"ES : PLT - U0KF:CONSTAR_PLASTICS_INC:ATLANTA,GA,US:U0A4",U0A4,CONSTAR_PLASTICS_INC,,0,
PL_U,Plant_Update,"ES : PLT - U0SA:CONSTAR_PLASTICS_INC:COLLIERVILLE,TN,US:U0D6",U0D6,CONSTAR_PLASTICS_INC,,0,
PL_U,Plant_Update,"ES : PLT - U0QY/U0Y9:CONVERSION_TECHNOLOGIES:WEST_UNITY,OH,US",,CONVERSION_TECHNOLOGIES,,0,
PL_U,Plant_Update,"ES : PLT - U0EL/U0E5:CPI:MIDLAND,MI,US",,CPI,,0,
PL_U,Plant_Update,"ES : PLT - U0WJ/U0XC:CREST FOODS CO. INC.:ASHTON,IL,US",,CREST FOODS CO. INC.,,0,
PL_U,Plant_Update,"ES : PLT - U02D:CRUM_&_CRUM_ENTERPRISE:SACRAMENTO,CA,US",,CRUM_&_CRUM_ENTERPRISE,,0,
PL_U,Plant_Update,"ES : PLT - U0QM/U05Q:CRYSTALS:QINGDAO,120,CN",,CRYSTALS,,0,
PL_U,Plant_Update,"ES : PLT - U03L:CUBA_WAREHOUSE-STEVENS:CUBA,MO,US",,CUBA_WAREHOUSE-STEVENS,,0,
PL_U,Plant_Update,"ES : PLT - U0QU:CUMBERLAND_ELKHORN:LOUISVILLE,KY,US",,CUMBERLAND_ELKHORN,,0,
PL_U,Plant_Update,"ES : PLT - U0EZ/U0X8:CYGNUS_PKG:RIVERDALE,IL,US",,CYGNUS_PKG,,0,
PL_U,Plant_Update,"ES : PLT - U0RW:DALLAS_KINGSFORD:FORT_WORTH,TX,US",,DALLAS_KINGSFORD,,0,
PL_U,Plant_Update,"ES : PLT - U02W/U03W:DBA_KENDALL_KING_GROUP:KANSAS_CITY,MO,US",,DBA_KENDALL_KING_GROUP,,0,
PL_U,Plant_Update,"ES : PLT - U05B:DERBY_CITY_WAREHOUSE:LOUISVILLE,KY,US",,DERBY_CITY_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0DY:DERBY_CITY_WAREHOUSE:LOUISVILLE,KY,US",,DERBY_CITY_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0ES:E&S_DISTRIBUTING_CO:LOS_ANGELES,CA,US",,E&S_DISTRIBUTING_CO,,0,
PL_U,Plant_Update,"ES : PLT - U0EK:EAGLE_CARRIERS:SOMERSET,KY,US",,EAGLE_CARRIERS,,0,
PL_U,Plant_Update,"ES : PLT - U03D:ECONOMY_WAREHOUSE:FONTANA,CA,US",,ECONOMY_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0E0/U0I2:EIJ:SOUTH BELOIT,IL,US",,EIJ,,0,
PL_U,Plant_Update,"ES : PLT - U0NH:ES3_LLC:YORK,PA,US",,ES3_LLC,,0,
PL_U,Plant_Update,"ES : PLT - U0BX:EXEL_LOGISTICS_N/WEST:LATHROP,CA,US",,EXEL_LOGISTICS_N/WEST,,0,
PL_U,Plant_Update,"ES : PLT - U04I:EXEL_POST:COPPELL,TX,US",,EXEL_POST,,0,
PL_U,Plant_Update,"ES : PLT - U04I:EXEL_POST:COPPELL,TX,US",,EXEL_POST,,0,
PL_U,Plant_Update,"ES : PLT - U0QX/U0Y8:FIBERBOND_CORP:MICHIGAN_CITY,IN,US",,FIBERBOND_CORP,,0,
PL_U,Plant_Update,"ES : PLT - U0IF:FILTRATION GROUP INC.:YORK,SC,US",,FILTRATION GROUP INC.,,0,
PL_U,Plant_Update,"ES : PLT - U0QO/U07O:FITPATRICK BROTHERS, INC.:QUINCY,IL,US",,"FITPATRICK BROTHERS, INC.",,0,
PL_U,Plant_Update,"ES : PLT - U0VH/U07V:FOOD SERVICE SPECIALTIES:RED WING,MN,US",,FOOD SERVICE SPECIALTIES,,0,
PL_U,Plant_Update,"ES : PLT - U0UP:FOREST PARK POSTPONEMENT CENTER:FOREST PARK,GA,US",,FOREST PARK POSTPONEMENT CENTER,,0,
PL_U,Plant_Update,"ES : PLT - U0FM/U03F:FRAGRANCE_MFG_INC:ALLENTOWN,PA,US",,FRAGRANCE_MFG_INC,,0,
PL_U,Plant_Update,"ES : PLT - U0CY:FREEWAY_WHSE_CORP:FARMINGDALE,NJ,US",,FREEWAY_WHSE_CORP,,0,
PL_U,Plant_Update,"ES : PLT - CABD:G_W_PLASTICS:BETHEL,VT,US",,G_W_PLASTICS,,0,
